Umidità (%),Latitudine,Longitudine,Data di misurazione,Day sin,Day cos,Year sin,Year cos
89,48.02431006894088,-144.8590004575265,2023-07-12 18:21:45.232828,-0.9095154075651352,-0.4156702099039888,-0.1747051976072082,-0.9846207868662058
0,27.815080905710005,110.9299267741452,2023-08-15 18:21:45.232828,-0.9095154075653975,-0.41567020990341474,-0.6892843376297817,-0.7244909260289415
15,65.24287904550229,107.48982271950064,2022-05-20 18:21:45.232828,-0.9095154075683144,-0.41567020989703246,0.6683357076890765,-0.7438597864031509
18,59.10693944947221,-119.44941090326006,2020-06-19 18:21:45.232828,-0.9095154075636246,-0.4156702099072941,0.20605576114849683,-0.978540251240343
89,15.045099690640924,-23.08207118490236,2023-03-08 18:21:45.232828,-0.9861077883809164,-0.16610668166722795,0.9129133354107192,0.4081534540210039
99,-73.6068395551268,31.094679409254212,2022-08-19 18:21:45.232828,-0.9095154075675933,-0.4156702098986102,-0.7402778561366941,-0.6723010454503697
21,31.407746573864486,-85.6175824354003,2023-05-04 18:21:45.232828,-0.9095154075628237,-0.41567020990904646,0.8475678000471076,-0.5306871247008977
0,-34.04728409658167,-131.69222166499668,2024-02-04 18:21:45.232828,-0.9861077883793838,-0.16610668167632603,0.5610927390123922,0.8277529451639369
65,-4.874632719636097,-141.9968298004225,2020-06-22 18:21:45.232828,-0.909515407562936,-0.41567020990880055,0.15530300063167907,-0.9878668827300552
35,57.59643183772755,-133.43126396534578,2019-10-06 18:21:45.232828,-0.9095154075641322,-0.4156702099061835,-0.9964964591738615,0.0836349619116107
23,-69.50570818936808,-59.4342570656448,2019-11-01 18:21:45.232828,-0.9861077883802734,-0.1661066816710455,-0.8619353858655426,0.5070181363549219
52,4.718731234469402,-89.34696521068916,2021-01-31 18:21:45.232828,-0.9861077883802607,-0.16610668167112083,0.5136292099351699,0.8580122578969214
61,-14.874827275541293,-24.589983860795996,2021-06-09 18:21:45.232828,-0.9095154075628057,-0.41567020990908576,0.37439287510607194,-0.9272701737195095
50,-34.48167211118923,102.44571781258423,2021-04-21 18:21:45.232828,-0.9095154075659857,-0.41567020990212766,0.9413732726287501,-0.3373668056881661
1,-60.79447309997053,76.5901153597722,2023-12-22 18:21:45.232828,-0.9861077883793904,-0.16610668167628737,-0.16051940003931303,0.987032685482613
26,-23.931086805141078,116.19554202201442,2019-03-23 18:21:45.232828,-0.986107788380581,-0.16610668166921894,0.9867603190172268,0.16218530393664138
15,25.456714250707776,1.7812579481167745,2021-10-09 18:21:45.232828,-0.9095154075630355,-0.415670209908583,-0.9896211065313667,0.14370130656202623
10,28.303511050791187,-171.05120009030892,2019-02-24 18:21:45.232828,-0.98610778838064,-0.16610668166886908,0.8095683759554295,0.5870255911396779
87,-56.786061847464545,33.201700431699294,2021-08-27 18:21:45.232828,-0.9095154075648385,-0.41567020990463777,-0.8278575499571099,-0.560938389646324
72,-43.76193723954821,109.49757051634498,2019-10-16 18:21:45.232828,-0.9095154075638535,-0.41567020990679315,-0.9674711724628561,0.2529812847887105
24,86.751974251066,-6.528799993873662,2022-12-07 18:21:45.232828,-0.9861077883812045,-0.16610668166551734,-0.4032693947744709,0.9150813052610308
64,-44.40170658723957,-81.92137889315605,2020-12-09 18:21:45.232828,-0.9861077883810925,-0.1661066816661823,-0.36379416327431296,0.9314793646493423
51,-87.81180519941987,111.05738776317276,2021-06-07 18:21:45.232828,-0.9095154075652809,-0.4156702099036697,0.4060682549999758,-0.9138427503029581
73,63.75123879106545,19.022911290297486,2022-04-04 18:21:45.232828,-0.9095154075647571,-0.415670209904816,0.998872114510587,-0.04748156329722862
97,-19.870426563195068,126.91624740333685,2023-07-30 18:21:45.232828,-0.9095154075670531,-0.41567020989979214,-0.46643512222333505,-0.8845554119197409
88,14.942599914236652,-174.3310009814722,2022-03-06 18:21:45.232828,-0.986107788379927,-0.16610668167310202,0.9001579428931271,0.4355636323735187
58,-89.22914295415048,-97.06980055277486,2022-10-01 18:21:45.232828,-0.9095154075657902,-0.41567020990255543,-0.9999971040356697,0.0024066408693723526
100,48.190570957993856,-161.6902981664565,2021-09-02 18:21:45.232828,-0.9095154075634616,-0.41567020990765063,-0.8812470375967156,-0.47265596233096746
74,53.78570628930504,-59.75114636328584,2022-09-23 18:21:45.232828,-0.9095154075635936,-0.41567020990736175,-0.9908722940842596,-0.13480391988438817
1,-52.87618639157877,39.6326321056826,2021-05-17 18:21:45.232828,-0.9095154075640515,-0.4156702099063599,0.702856881881893,-0.7113312896191639
10,63.956727826252404,-115.40969510689504,2022-12-21 18:21:45.232828,-0.986107788379115,-0.1661066816779226,-0.1733675325616413,0.9848571970867087
18,86.29772819651635,13.148423766119265,2021-03-16 18:21:45.232828,-0.9861077883802541,-0.1661066816711595,0.9625703683772919,0.2710318909685804
33,52.99304470872161,86.70377179288971,2021-03-20 18:21:45.232828,-0.986107788380693,-0.16610668166855397,0.9789276876112857,0.20420720464278716
0,-83.6640799013126,54.24461795699355,2021-05-22 18:21:45.232828,-0.9095154075669366,-0.41567020990004716,0.6391495287058188,-0.7690824922952867
4,-80.65861558626011,8.209823000689454,2022-04-20 18:21:45.232828,-0.9095154075631015,-0.41567020990843856,0.9483687205881699,-0.3171699383768229
80,-48.165775389506635,-170.7586408580995,2023-12-20 18:21:45.232828,-0.9861077883803795,-0.16610668167041526,-0.19437710966904873,0.9809268776196861
79,-86.26366479906858,-144.64643599324867,2021-05-08 18:21:45.232828,-0.9095154075661169,-0.4156702099018406,0.8041420809791404,-0.5944371401574245
26,-5.429838129470568,-149.9737577002386,2020-06-07 18:21:45.232828,-0.9095154075663784,-0.41567020990126835,0.40225247915689166,-0.9155287778175706
32,46.983016640596105,-24.437307822801216,2019-11-25 18:21:45.232828,-0.9861077883804895,-0.16610668166976206,-0.5860764233287129,0.8102557781455331
